"Identificador de URL";"Nombre";"Categorías";"Nombre de propiedad 1";"Valor de propiedad 1";"Nombre de propiedad 2";"Valor de propiedad 2";"Nombre de propiedad 3";"Valor de propiedad 3";"Precio";"Precio promocional";"Peso (kg)";"Alto (cm)";"Ancho (cm)";"Profundidad (cm)";"Stock";"SKU";"Código de barras";"Mostrar en tienda";"Envío sin cargo";"Descripción";"Tags";"Título para SEO";"Descripción para SEO";"Marca";"Producto Físico";"MPN (Número de pieza del fabricante)";"Sexo";"Rango de edad";"Costo"
"beretta-9x9";"Beretta 9x9 - Inox";"Armas > Pistolas";"Acabado";"Inox";"";"";"";"";"";"";"1";"15";"10";"30";"5";"BEP-051";"";"SI";"NO";"Pistola Beretta 9x9 calibre 9mm. Acabado Inox.";"beretta,9x9,9mm";"Pistola Beretta 9x9 Inox | JGO Armería";"Pistola Beretta 9x9 calibre 9mm. Acabado Inox.";"Beretta";"SI";"";"";"";""
"beretta-apx-pavonada";"Beretta APX 9mm Pavonada";"Armas > Pistolas";"";"";"";"";"";"";"";"";"1";"15";"10";"30";"5";"BEP-052";"";"SI";"NO";"Pistola Beretta APX calibre 9mm. Acabado Pavonada.";"beretta,apx,9mm";"Pistola Beretta APX 9mm | JGO Armería";"Pistola Beretta APX calibre 9mm. Acabado Pavonada.";"Beretta";"SI";"";"";"";""
"beretta-92-compact-pavonada";"Beretta 92 Compact 9mm Pavonada";"Armas > Pistolas";"";"";"";"";"";"";"";"";"1";"15";"10";"30";"5";"BEP-053";"";"SI";"NO";"Pistola Beretta 92 Compact calibre 9mm. Acabado Pavonada.";"beretta,92-compact,9mm";"Pistola Beretta 92 Compact 9mm | JGO Armería";"Pistola Beretta 92 Compact calibre 9mm. Acabado Pavonada.";"Beretta";"SI";"";"";"";""
"beretta-9x9-storm-subcompact-pavonada";"Beretta 9x9 Storm Subcompact 9mm Pavonada";"Armas > Pistolas";"";"";"";"";"";"";"";"";"1";"15";"10";"30";"5";"BEP-054";"";"SI";"NO";"Pistola Beretta 9x9 Storm Subcompact calibre 9mm. Acabado Pavonada.";"beretta,9x9-storm-subcompact,9mm";"Pistola Beretta 9x9 Storm Subcompact 9mm | JGO Armería";"Pistola Beretta 9x9 Storm Subcompact calibre 9mm. Acabado Pavonada.";"Beretta";"SI";"";"";"";""
"beretta-apx-cany";"Beretta APX Cany - Pavonada";"Armas > Pistolas";"Acabado";"Pavonada";"";"";"";"";"";"";"1";"15";"10";"30";"5";"BEP-055";"";"SI";"NO";"Pistola Beretta APX Cany calibre 9mm. Acabado Pavonada.";"beretta,apx-cany,9mm";"Pistola Beretta APX Cany Pavonada | JGO Armería";"Pistola Beretta APX Cany calibre 9mm. Acabado Pavonada.";"Beretta";"SI";"";"";"";""
"beretta-apx-cany";"Beretta APX Cany - FDE Arena";"Armas > Pistolas";"Acabado";"FDE Arena";"";"";"";"";"";"";"1";"15";"10";"30";"5";"BEP-056";"";"SI";"NO";"Pistola Beretta APX Cany calibre 9mm. Acabado FDE Arena.";"beretta,apx-cany,9mm";"Pistola Beretta APX Cany FDE Arena | JGO Armería";"Pistola Beretta APX Cany calibre 9mm. Acabado FDE Arena.";"Beretta";"SI";"";"";"";""
"beretta-apx-compact-pavonada";"Beretta APX Compact 9mm Pavonada";"Armas > Pistolas";"";"";"";"";"";"";"";"";"1";"15";"10";"30";"5";"BEP-057";"";"SI";"NO";"Pistola Beretta APX Compact calibre 9mm. Acabado Pavonada.";"beretta,apx-compact,9mm";"Pistola Beretta APX Compact 9mm | JGO Armería";"Pistola Beretta APX Compact calibre 9mm. Acabado Pavonada.";"Beretta";"SI";"";"";"";""
"beretta-u22-neos-inox";"Beretta U22 NEOS 9mm Inox";"Armas > Pistolas";"";"";"";"";"";"";"";"";"1";"15";"10";"30";"5";"BEP-058";"";"SI";"NO";"Pistola Beretta U22 NEOS calibre 9mm. Acabado Inox.";"beretta,u22-neos,9mm";"Pistola Beretta U22 NEOS 9mm | JGO Armería";"Pistola Beretta U22 NEOS calibre 9mm. Acabado Inox.";"Beretta";"SI";"";"";"";""
"beretta-92fs-pavonada";"Beretta 92FS 9mm Pavonada";"Armas > Pistolas";"";"";"";"";"";"";"";"";"1";"15";"10";"30";"5";"BEP-059";"";"SI";"NO";"Pistola Beretta 92FS calibre 9mm. Acabado Pavonada.";"beretta,92fs,9mm";"Pistola Beretta 92FS 9mm | JGO Armería";"Pistola Beretta 92FS calibre 9mm. Acabado Pavonada.";"Beretta";"SI";"";"";"";""
"beretta-3032-tomcat-pavonada";"Beretta 3032 Tomcat 9mm Pavonada";"Armas > Pistolas";"";"";"";"";"";"";"";"";"1";"15";"10";"30";"5";"BEP-060";"";"SI";"NO";"Pistola Beretta 3032 Tomcat calibre 9mm. Acabado Pavonada.";"beretta,3032-tomcat,9mm";"Pistola Beretta 3032 Tomcat 9mm | JGO Armería";"Pistola Beretta 3032 Tomcat calibre 9mm. Acabado Pavonada.";"Beretta";"SI";"";"";"";""
"beretta-apx-ai-estandar";"Beretta APX AI 9mm Estándar";"Armas > Pistolas";"";"";"";"";"";"";"";"";"1";"15";"10";"30";"5";"BEP-061";"";"SI";"NO";"Pistola Beretta APX AI calibre 9mm. Acabado Estándar.";"beretta,apx-ai,9mm";"Pistola Beretta APX AI 9mm | JGO Armería";"Pistola Beretta APX AI calibre 9mm. Acabado Estándar.";"Beretta";"SI";"";"";"";""
"beretta-a300-ultim-black-culata-sintetica";"Beretta A300 Ultim Black CULATA-SINTETICA Cal. 12";"Armas > Escopetas";"";"";"";"";"";"";"";"";"1";"15";"10";"30";"5";"BES-062";"";"SI";"NO";"Escopeta Beretta A300 Ultim Black Culata Sintética calibre 12.";"beretta,escopeta,a300-ultim-black";"Escopeta Beretta A300 Ultim Black | JGO Armería";"Escopeta Beretta A300 Ultim Black Culata Sintética calibre 12.";"Beretta";"SI";"";"";"";""
"beretta-a400-lite-camo";"Beretta A400 Lite CAMO Cal. 12";"Armas > Escopetas";"";"";"";"";"";"";"";"";"1";"15";"10";"30";"5";"BES-063";"";"SI";"NO";"Escopeta Beretta A400 Lite Camo calibre 12.";"beretta,escopeta,a400-lite";"Escopeta Beretta A400 Lite | JGO Armería";"Escopeta Beretta A400 Lite Camo calibre 12.";"Beretta";"SI";"";"";"";""
"beretta-a400-lite-sintetico";"Beretta A400 Lite SINTETICO Cal. 12";"Armas > Escopetas";"";"";"";"";"";"";"";"";"1";"15";"10";"30";"5";"BES-064";"";"SI";"NO";"Escopeta Beretta A400 Lite Sintético calibre 12.";"beretta,escopeta,a400-lite";"Escopeta Beretta A400 Lite | JGO Armería";"Escopeta Beretta A400 Lite Sintético calibre 12.";"Beretta";"SI";"";"";"";""
"beretta-1301-tactical-fde";"Beretta 1301 Tactical FDE Cal. 12";"Armas > Escopetas";"";"";"";"";"";"";"";"";"1";"15";"10";"30";"5";"BES-065";"";"SI";"NO";"Escopeta Beretta 1301 Tactical FDE calibre 12.";"beretta,escopeta,1301-tactical";"Escopeta Beretta 1301 Tactical | JGO Armería";"Escopeta Beretta 1301 Tactical FDE calibre 12.";"Beretta";"SI";"";"";"";""
"beretta-brxi-cal-300-winchester";"Beretta BRXI CAL-300-WINCHESTER Cal. 12";"Armas > Escopetas";"";"";"";"";"";"";"";"";"1";"15";"10";"30";"5";"BES-066";"";"SI";"NO";"Escopeta Beretta BRXI Cal 300 Winchester calibre 12.";"beretta,escopeta,brxi";"Escopeta Beretta BRXI | JGO Armería";"Escopeta Beretta BRXI Cal 300 Winchester calibre 12.";"Beretta";"SI";"";"";"";""
